,0,1,2,3,4,5,6,7,8,9,10
178,252.687057495,227.168334961,293.160980225,220.268890381,232.306533813,214.228027344,257.802490234,217.198867798,214.058166504,276.99230957,218.715605302
179,190.120605469,195.308242798,232.476989746,244.849700928,261.145935059,269.777099609,208.390487671,187.234298706,180.919113159,227.205780029,199.766204834
180,166.228027344,259.77935791,192.667022705,212.581924438,142.299621582,162.597122192,231.864044189,243.443130493,311.546356201,274.592254639,199.781714699
181,177.371963501,226.689025879,253.061904907,157.140548706,228.115615845,240.067550659,207.963256836,180.992935181,258.199829102,223.530426025,195.739368786
182,223.48034668,221.908889771,201.58215332,259.507110596,207.290039062,203.445053101,272.255950928,154.769546509,202.646316528,197.262191772,194.922508933
183,222.782348633,275.684844971,226.865661621,222.549224854,162.550003052,205.773193359,284.717224121,233.168319702,178.583007812,289.537536621,209.29194225
184,260.530334473,259.112121582,225.438583374,190.353713989,287.138793945,214.649887085,163.436431885,198.360595703,205.140563965,298.480041504,209.331006137
185,167.678604126,171.204177856,149.374923706,175.371002197,285.631439209,246.24987793,195.323577881,269.267578125,225.377304077,215.70942688,191.017082908
186,209.005203247,175.124252319,170.078857422,187.836395264,173.201705933,227.719238281,180.219711304,173.096984863,193.377410889,259.194702148,177.168587425
187,156.81060791,233.682250977,240.332443237,195.683837891,333.758300781,190.792770386,251.393966675,304.401031494,165.354995728,227.744430542,209.086785056
188,195.853637695,160.171859741,177.49571228,235.055175781,208.732543945,187.990646362,201.720657349,278.80178833,161.07144165,204.587005615,182.861860795
189,206.938919067,160.783630371,161.133850098,240.031143188,262.289154053,221.383239746,230.401062012,259.602111816,190.364135742,230.052124023,196.634488192
190,171.912521362,266.76071167,252.026885986,186.436569214,210.825759888,244.369857788,174.797775269,286.448425293,223.437149048,240.859069824,205.261338667
191,133.287261963,197.248092651,254.642684937,195.381027222,297.899230957,172.869979858,190.01133728,178.16960144,269.490509033,214.630111694,191.239076094
192,264.304138184,358.071228027,206.490722656,221.808364868,180.40473938,154.22203064,251.533874512,162.704147339,204.681213379,242.66557312,204.262366555
193,220.59324646,172.723434448,171.902282715,189.53805542,228.455001831,292.473907471,245.550354004,233.254669189,138.65473938,157.282592773,186.402571245
194,249.482772827,272.152069092,249.614624023,227.041976929,168.279891968,175.988204956,263.744110107,228.201522827,176.246871948,157.601165771,197.123019132
195,233.366531372,194.092391968,227.787719727,225.13444519,227.117401123,282.558837891,256.033935547,219.264419556,284.731872559,238.999160767,217.189701427
196,208.481689453,201.309707642,176.712402344,251.999389648,256.733154297,209.678421021,258.397247314,261.245391846,212.198654175,188.700134277,202.314199274
197,187.935958862,201.462860107,206.968353271,199.48538208,197.768417358,201.979248047,309.725463867,248.1353302,240.848983765,175.650985718,197.269180298
198,215.235214233,240.117416382,231.944244385,250.324539185,188.904327393,189.990158081,200.215026855,192.279174805,199.330993652,180.799453735,189.921868064
199,250.148620605,217.692810059,216.795272827,231.541854858,241.986633301,219.3777771,169.670776367,248.506958008,204.216171265,269.195922852,206.284799749
200,192.753311157,169.768493652,215.491653442,185.82434082,216.443313599,249.928665161,236.185211182,259.893127441,204.325622559,135.312484741,187.811474887
201,210.163848877,247.631652832,160.769424438,249.006500244,254.415679932,318.670379639,173.105499268,283.41116333,238.587554932,227.159408569,214.811010187
202,157.225982666,204.205108643,187.043487549,296.936401367,158.725341797,250.160064697,225.921081543,234.719192505,231.557189941,196.856155396,194.850000555
203,271.619659424,270.438049316,212.033309937,146.483123779,155.116531372,243.872558594,201.901275635,199.556945801,115.444442749,195.359649658,182.893231479
